drug	atc
dr:D00002	A11HA01
dr:D00003	V03AN01
dr:D00004	V03AN02
dr:D00006	A11HA06
dr:D00008	A01AB02
dr:D00008	D08AX01
dr:D00008	D11AX25
dr:D00008	S02AA06
dr:D00009	B05CX01
dr:D00009	V04CA02
dr:D00009	V06DC01
dr:D00010	G01AD02
dr:D00010	S02AA10
dr:D00011	B05CX03
dr:D00014	V03AB32
dr:D00015	A16AA03
dr:D00018	A11GA01
dr:D00018	G01AD03
dr:D00018	S01XA15
dr:D00019	V03AB26
dr:D00020	N06AX02
dr:D00023	B05BC02
dr:D00023	D02AE01
dr:D00024	D10AB02
dr:D00028	A06AG04
dr:D00028	A06AX01
dr:D00029	A11HA05
dr:D00033	C05BB05
dr:D00033	D08AE03
dr:D00033	N01BX03
dr:D00033	R02AA19
dr:D00036	A11HA01
dr:D00037	A09AB04
dr:D00042	B03BA04
dr:D00043	S01EB07
dr:D00045	C01EB10
dr:D00048	A16AX01
dr:D00049	C04AC01
dr:D00049	C10AD02
dr:D00050	A11HA04
dr:D00050	S01XA26
dr:D00052	V03AB03
dr:D00054	D06BB05
dr:D00054	G01AX02
dr:D00054	S01XA10
dr:D00056	B06AA07
dr:D00056	D03BA01
dr:D00057	N06BX06
dr:D00058	N03AG03
dr:D00059	N04BA01
dr:D00060	B05AA05
dr:D00062	A06AD16
dr:D00062	B05BC01
dr:D00062	B05CX04
dr:D00062	R05CB16
dr:D00063	J01GB01
dr:D00063	S01AA12
dr:D00066	G03DA04
dr:D00067	G03CA07
dr:D00067	G03CC04
dr:D00068	D08AX08
dr:D00068	V03AB16
dr:D00068	V03AZ01
dr:D00070	B03BB01
dr:D00073	D11AX11
dr:D00074	R07AX01
dr:D00075	G03BA03
dr:D00076	C01CA03
dr:D00077	P03AX06
dr:D00079	G02AD02
dr:D00080	M01AX25
dr:D00081	G02AD01
dr:D00083	V03AN04
dr:D00086	A16AX01
dr:D00088	A01AC03
dr:D00088	A07EA02
dr:D00088	C05AA01
dr:D00088	D07AA02
dr:D00088	D07XA01
dr:D00088	H02AB09
dr:D00088	S01BA02
dr:D00088	S01CB03
dr:D00088	S02BA01
dr:D00089	H01BB02
dr:D00090	B02BC06
dr:D00090	B02BD30
dr:D00094	D10AD01
dr:D00094	L01XX14
dr:D00095	A01AD01
dr:D00095	B02BC09
dr:D00095	C01CA24
dr:D00095	R01AA14
dr:D00095	R03AA01
dr:D00095	S01EA01
dr:D00096	A06AD18
dr:D00096	A06AG07
dr:D00096	B05CX02
dr:D00096	V04CC01
dr:D00097	D01AE12
dr:D00097	S01BC08
dr:D00098	C01EB02
dr:D00101	H01BA01
dr:D00102	N01AX13
dr:D00104	D06AX02
dr:D00104	D10AF03
dr:D00104	G01AA05
dr:D00104	J01BA01
dr:D00104	S01AA01
dr:D00104	S02AA01
dr:D00104	S03AA08
dr:D00105	G03CA03
dr:D00106	B01AC09
dr:D00107	D11AH01
dr:D00107	L04AD02
dr:D00108	D08AG03
dr:D00109	A01AD05
dr:D00109	B01AC06
dr:D00109	N02BA01
dr:D00110	N01BC01
dr:D00110	R02AD03
dr:D00110	S01HA01
dr:D00110	S02DA02
dr:D00111	G01AD01
dr:D00112	C01AC01
dr:D00113	A03BA01
dr:D00113	S01FA01
dr:D00114	C01EB07
dr:D00114	V06DC02
dr:D00115	B05AA06
dr:D00116	H04AA01
dr:D00118	G02CC02
dr:D00118	M01AE02
dr:D00118	M02AA12
dr:D00120	M01AB02
dr:D00122	A11CC06
dr:D00124	C01CA26
dr:D00124	R01AA03
dr:D00124	R01AB05
dr:D00124	R03CA02
dr:D00124	S01FB02
dr:D00125	L01CB01
dr:D00126	C01EB16
dr:D00126	G02CC01
dr:D00126	M01AE01
dr:D00126	M02AA13
dr:D00126	R02AX02
dr:D00127	M01AC01
dr:D00127	M02AA07
dr:D00127	S01BC06
dr:D00128	D06AX05
dr:D00128	J01XX10
dr:D00128	R02AB04
dr:D00129	A11CC04
dr:D00129	D05AX03
dr:D00130	N02BA11
dr:D00131	N07BB01
dr:D00131	P03AA04
dr:D00132	M01AE03
dr:D00132	M02AA10
dr:D00133	D10AX02
dr:D00133	S01AX06
dr:D00134	P02CA03
dr:D00135	J04AB30
dr:D00136	N05AD01
dr:D00137	D08AX05
dr:D00138	A04AD01
dr:D00138	N05CM05
dr:D00138	S01FA02
dr:D00139	D05AD02
dr:D00139	D05BA02
dr:D00140	D10AF02
dr:D00140	J01FA01
dr:D00140	S01AA17
dr:D00141	C01EB03
dr:D00141	M01AB01
dr:D00141	M02AA23
dr:D00141	S01BC01
dr:D00142	L01BA01
dr:D00142	L04AX03
dr:D00144	J04AK01
dr:D00145	J01EA01
dr:D00146	H01AA01
dr:D00147	A03BA03
dr:D00148	B02BA01
dr:D00150	C01CX09
dr:D00151	M01AG01
dr:D00152	A03AX12
dr:D00155	L01XX08
dr:D00156	D03AX10
dr:D00157	A05BA08
dr:D00158	M01AB03
dr:D00158	M02AA21
dr:D00160	B02AA01
dr:D00161	L01BB02
dr:D00162	J04AA01
dr:D00163	A05AA01
dr:D00164	A11CA01
dr:D00164	D10AD02
dr:D00164	R01AX02
dr:D00164	S01XA02
dr:D00165	A01AC03
dr:D00165	A07EA02
dr:D00165	C05AA01
dr:D00165	D07AA02
dr:D00165	D07XA01
dr:D00165	H02AB09
dr:D00165	S01BA02
dr:D00165	S01CB03
dr:D00165	S02BA01
dr:D00166	B03BA01
dr:D00167	V03AB09
dr:D00168	L01BC01
dr:D00169	M01AG04
dr:D00169	M02AA18
dr:D00170	A05AX02
dr:D00172	B02BD05
dr:D00172	B02BD08
dr:D00175	R05CB03
dr:D00176	V04CJ02
dr:D00177	A02BX04
dr:D00178	C01CA18
dr:D00180	C01EA01
dr:D00180	G04BE01
dr:D00181	B01AE03
dr:D00182	G03AC01
dr:D00182	G03DC02
dr:D00183	J01MB02
dr:D00184	L04AD01
dr:D00184	S01XA18
dr:D00185	G03CA04
dr:D00185	G03CC06
dr:D00186	J01MA02
dr:D00186	S01AE03
dr:D00186	S02AA15
dr:D00186	S03AA07
