ds	drug
ds:H01213	dr:D00163
ds:H00787	dr:D00164
ds:H00630	dr:D00169
ds:H01674	dr:D00169
ds:H01202	dr:D01100
ds:H01633	dr:D01246
ds:H01813	dr:D01253
ds:H01609	dr:D01744
ds:H01593	dr:D00942
ds:H01709	dr:D00942
ds:H00437	dr:D00942
ds:H00630	dr:D01661
ds:H01532	dr:D01661
ds:H00031	dr:D01161
ds:H01619	dr:D00074
ds:H01621	dr:D00074
ds:H01609	dr:D00531
ds:H01460	dr:D00531
ds:H00409	dr:D00596
ds:H00612	dr:D00598
ds:H01633	dr:D00598
ds:H01632	dr:D00598
ds:H01360	dr:D01336
ds:H00630	dr:D00749
ds:H00896	dr:D00753
ds:H00083	dr:D00753
ds:H00915	dr:D00753
ds:H00010	dr:D00754
ds:H01473	dr:D00754
ds:H01593	dr:D09187
ds:H00018	dr:D01059
ds:H00048	dr:D01059
ds:H00020	dr:D01059
ds:H00013	dr:D01059
ds:H00014	dr:D01059
ds:H00007	dr:D01059
ds:H00011	dr:D01059
ds:H01613	dr:D01059
ds:H01463	dr:D01059
ds:H00005	dr:D01059
ds:H01464	dr:D01059
ds:H01892	dr:D01059
ds:H00008	dr:D01059
ds:H00001	dr:D01059
ds:H00002	dr:D01059
ds:H01646	dr:D01179
ds:H01662	dr:D01179
ds:H01459	dr:D01179
ds:H01636	dr:D01179
ds:H00057	dr:D01505
ds:H01652	dr:D00133
ds:H01445	dr:D00133
ds:H01176	dr:D00145
ds:H01490	dr:D00146
ds:H01656	dr:D00146
ds:H00630	dr:D00146
ds:H01672	dr:D00146
ds:H01674	dr:D00146
ds:H00080	dr:D00146
ds:H01604	dr:D00146
ds:H01695	dr:D00146
ds:H01694	dr:D00146
ds:H01717	dr:D00146
ds:H01657	dr:D00146
ds:H01563	dr:D00427
ds:H01895	dr:D00606
ds:H01633	dr:D00606
ds:H00250	dr:D01010
ds:H00081	dr:D01010
ds:H00079	dr:D01036
ds:H00892	dr:D01036
ds:H00342	dr:D01036
ds:H01657	dr:D00431
ds:H01633	dr:D01119
ds:H00079	dr:D01123
ds:H01642	dr:D01602
ds:H00031	dr:D01602
ds:H00211	dr:D01186
ds:H01593	dr:D00105
ds:H00627	dr:D00105
ds:H01669	dr:D01009
ds:H00808	dr:D00709
ds:H01316	dr:D01170
ds:H01445	dr:D01170
ds:H01656	dr:D00325
ds:H01663	dr:D00325
ds:H01372	dr:D00325
ds:H01633	dr:D00611
ds:H01633	dr:D00620
ds:H01633	dr:D00622
ds:H01813	dr:D00354
ds:H01653	dr:D00354
ds:H01563	dr:D00895
ds:H00398	dr:D00901
ds:H01669	dr:D11063
ds:H00315	dr:D00915
ds:H01445	dr:D00094
ds:H00003	dr:D00094
ds:H01656	dr:D00097
ds:H01316	dr:D00097
ds:H01334	dr:D00097
ds:H00735	dr:D00097
ds:H01771	dr:D00097
ds:H00715	dr:D00097
ds:H01663	dr:D00097
ds:H01358	dr:D00097
ds:H01357	dr:D00452
ds:H01358	dr:D00452
ds:H00366	dr:D00452
ds:H01045	dr:D00471
ds:H01610	dr:D00471
ds:H01617	dr:D00471
ds:H01628	dr:D00471
ds:H01093	dr:D00471
ds:H01107	dr:D00471
ds:H00079	dr:D00687
ds:H01714	dr:D00687
ds:H01501	dr:D00350
ds:H01062	dr:D00350
ds:H01328	dr:D00350
ds:H01316	dr:D00350
ds:H01499	dr:D00350
ds:H01520	dr:D00350
ds:H00363	dr:D00350
ds:H01109	dr:D00350
ds:H01334	dr:D00350
ds:H01398	dr:D01126
ds:H00187	dr:D01126
ds:H00185	dr:D01126
ds:H01028	dr:D01126
ds:H00899	dr:D01126
ds:H01656	dr:D01132
ds:H01445	dr:D01132
ds:H01600	dr:D01231
ds:H01633	dr:D01604
ds:H01632	dr:D01604
ds:H00812	dr:D01426
ds:H00362	dr:D01426
ds:H00360	dr:D01426
ds:H01380	dr:D01426
ds:H00037	dr:D00214
ds:H00035	dr:D00214
ds:H00023	dr:D00214
ds:H00028	dr:D00214
ds:H00021	dr:D00214
ds:H01649	dr:D01520
ds:H01653	dr:D01520
ds:H01646	dr:D01520
ds:H00083	dr:D00238
ds:H00630	dr:D00238
ds:H00286	dr:D00238
ds:H01466	dr:D00238
ds:H01658	dr:D00238
ds:H01655	dr:D00238
ds:H01382	dr:D00238
ds:H01468	dr:D00238
ds:H01465	dr:D00238
ds:H00080	dr:D00238
ds:H01604	dr:D00238
ds:H01492	dr:D00238
ds:H01710	dr:D00238
ds:H01632	dr:D00517
ds:H01633	dr:D00523
ds:H01456	dr:D00523
ds:H00057	dr:D00558
ds:H01600	dr:D00558
ds:H01299	dr:D01583
ds:H01357	dr:D01594
ds:H01358	dr:D01594
ds:H01656	dr:D01594
ds:H00366	dr:D01594
ds:H01649	dr:D00793
ds:H01598	dr:D00986
ds:H01594	dr:D00998
ds:H00342	dr:D00346
ds:H00315	dr:D00183
ds:H00630	dr:D01146
ds:H01176	dr:D01157
ds:H01213	dr:D01157
ds:H01633	dr:D02045
ds:H01632	dr:D02045
ds:H01611	dr:D02095
ds:H02028	dr:D00803
ds:H01632	dr:D01220
ds:H01360	dr:D01478
ds:H01633	dr:D00618
ds:H01632	dr:D00618
ds:H01742	dr:D00515
ds:H01632	dr:D00515
ds:H01730	dr:D00515
ds:H01631	dr:D00515
ds:H00361	dr:D02126
ds:H00024	dr:D02116
ds:H00334	dr:D01473
ds:H01213	dr:D01473
ds:H00228	dr:D00583
ds:H00083	dr:D00583
ds:H00031	dr:D00583
ds:H00027	dr:D00583
ds:H00022	dr:D00583
ds:H00409	dr:D00593
ds:H00007	dr:D00363
ds:H00365	dr:D00398
ds:H00366	dr:D00398
ds:H01334	dr:D01093
ds:H01316	dr:D01093
ds:H01609	dr:D00387
ds:H01380	dr:D00409
ds:H00812	dr:D00409
ds:H00360	dr:D00409
ds:H00334	dr:D00409
ds:H00320	dr:D00409
ds:H00362	dr:D00409
ds:H00338	dr:D00409
ds:H00363	dr:D00416
ds:H01633	dr:D00418
ds:H01213	dr:D01079
ds:H00058	dr:D01552
ds:H01729	dr:D00477
ds:H00731	dr:D00477
ds:H01609	dr:D00388
ds:H01699	dr:D00930
ds:H00612	dr:D00655
ds:H01625	dr:D02860
ds:H01711	dr:D02860
ds:H01357	dr:D01823
ds:H01358	dr:D01823
ds:H00366	dr:D01823
ds:H01639	dr:D01831
ds:H00937	dr:D01831
ds:H01640	dr:D01831
ds:H01649	dr:D00503
ds:H01495	dr:D00503
ds:H00409	dr:D10317
ds:H01646	dr:D00823
ds:H01450	dr:D00823
ds:H01703	dr:D00823
ds:H01664	dr:D00823
ds:H00361	dr:D00831
ds:H00342	dr:D03278
ds:H00057	dr:D02562
ds:H01532	dr:D00475
ds:H01634	dr:D02213
ds:H01593	dr:D02217
ds:H00330	dr:D02195
ds:H01895	dr:D02574
ds:H00155	dr:D02690
ds:H01383	dr:D02690
ds:H01213	dr:D01365
ds:H01680	dr:D01365
ds:H01600	dr:D02246
ds:H01360	dr:D02249
ds:H00167	dr:D01798
ds:H01634	dr:D01467
ds:H01522	dr:D01467
ds:H01602	dr:D01467
ds:H01633	dr:D01741
ds:H01632	dr:D01741
ds:H01563	dr:D02297
ds:H01360	dr:D00480
ds:H01600	dr:D00480
ds:H00937	dr:D00990
ds:H01639	dr:D00990
ds:H01640	dr:D00990
ds:H00033	dr:D00420
ds:H01431	dr:D00420
ds:H01652	dr:D02011
ds:H01582	dr:D02011
ds:H01445	dr:D02011
ds:H01652	dr:D00050
ds:H01582	dr:D00050
ds:H01445	dr:D00050
ds:H01652	dr:D00006
ds:H01358	dr:D00006
ds:H01445	dr:D00006
ds:H01616	dr:D01925
ds:H00333	dr:D01073
ds:H01445	dr:D01073
ds:H01656	dr:D01948
ds:H01663	dr:D01948
ds:H01595	dr:D01948
ds:H01654	dr:D01948
ds:H01652	dr:D01327
ds:H01656	dr:D01327
ds:H01663	dr:D01327
ds:H01659	dr:D01327
ds:H01463	dr:D01327
ds:H01648	dr:D01327
ds:H01650	dr:D01327
ds:H01362	dr:D01327
ds:H00022	dr:D02697
ds:H01634	dr:D01491
ds:H01213	dr:D01491
ds:H01680	dr:D01766
ds:H01602	dr:D01766
ds:H01360	dr:D00659
ds:H00079	dr:D00659
ds:H01358	dr:D00659
ds:H01360	dr:D00364
ds:H00409	dr:D00945
ds:H00409	dr:D02206
ds:H00409	dr:D01665
ds:H01445	dr:D00026
ds:H00018	dr:D01309
ds:H00020	dr:D01309
ds:H00031	dr:D01309
ds:H00030	dr:D01309
ds:H00022	dr:D01309
ds:H01293	dr:D02074
ds:H01895	dr:D02074
ds:H01656	dr:D04409
ds:H01631	dr:D01133
ds:H01633	dr:D00621
ds:H01633	dr:D00624
ds:H01742	dr:D00624
ds:H00362	dr:D02486
ds:H00356	dr:D02486
ds:H01317	dr:D04425
ds:H01633	dr:D00507
ds:H01634	dr:D01167
ds:H01634	dr:D01446
ds:H01634	dr:D01956
ds:H01629	dr:D00181
ds:H01625	dr:D00181
ds:H01626	dr:D00181
ds:H01381	dr:D00181
ds:H01360	dr:D01460
ds:H01634	dr:D00726
ds:H00031	dr:D00960
ds:H00031	dr:D00967
ds:H00630	dr:D00968
ds:H01054	dr:D00534
ds:H01358	dr:D00526
ds:H01360	dr:D00526
ds:H00079	dr:D00526
ds:H00210	dr:D00496
ds:H00079	dr:D00414
ds:H00630	dr:D00428
ds:H00031	dr:D10898
ds:H01608	dr:D02735
ds:H01459	dr:D00639
ds:H01633	dr:D00197
ds:H01649	dr:D00197
ds:H00210	dr:D00736
ds:H00359	dr:D02494
ds:H00218	dr:D00063
ds:H01644	dr:D00063
ds:H01366	dr:D00063
ds:H01633	dr:D00609
ds:H01649	dr:D04034
ds:H01653	dr:D04034
ds:H01671	dr:D04034
ds:H01633	dr:D00459
ds:H01633	dr:D00383
ds:H01633	dr:D00513
ds:H01632	dr:D00513
ds:H00215	dr:D00518
ds:H00745	dr:D00518
ds:H00746	dr:D00518
ds:H01635	dr:D00434
ds:H00155	dr:D00434
ds:H01383	dr:D00434
ds:H01635	dr:D00476
ds:H00155	dr:D00476
ds:H01661	dr:D00476
ds:H01609	dr:D01758
ds:H01621	dr:D01227
ds:H01492	dr:D01227
ds:H01490	dr:D04127
ds:H01634	dr:D01658
ds:H01634	dr:D01131
ds:H01602	dr:D01131
ds:H01634	dr:D01121
ds:H01641	dr:D01121
ds:H01634	dr:D00731
ds:H00058	dr:D01671
ds:H01097	dr:D01671
ds:H01616	dr:D01671
ds:H01578	dr:D01671
ds:H01097	dr:D00776
ds:H01616	dr:D00776
ds:H01490	dr:D00776
ds:H00058	dr:D00776
ds:H01634	dr:D01976
ds:H01696	dr:D01995
ds:H01360	dr:D04246
ds:H01649	dr:D01898
ds:H00079	dr:D01332
ds:H01360	dr:D01332
ds:H01620	dr:D01882
ds:H01625	dr:D01882
ds:H01626	dr:D01882
ds:H01643	dr:D01882
ds:H00018	dr:D02131
ds:H00020	dr:D02131
ds:H00046	dr:D02131
ds:H00019	dr:D02131
ds:H00013	dr:D02131
ds:H00014	dr:D02131
ds:H00031	dr:D02131
ds:H00022	dr:D02131
ds:H00024	dr:D02131
ds:H00030	dr:D02131
ds:H01457	dr:D01735
ds:H01643	dr:D01735
ds:H01582	dr:D00036
ds:H01495	dr:D00036
ds:H01620	dr:D00036
ds:H01643	dr:D00036
ds:H00360	dr:D00868
ds:H00342	dr:D00878
ds:H02029	dr:D00878
ds:H01458	dr:D00878
ds:H00363	dr:D00882
ds:H01316	dr:D00882
ds:H01334	dr:D00882
ds:H01316	dr:D00886
ds:H01334	dr:D00886
ds:H00363	dr:D00886
ds:H01635	dr:D01915
ds:H01637	dr:D01915
ds:H00155	dr:D01915
ds:H01649	dr:D02163
ds:H01490	dr:D02166
ds:H00003	dr:D02166
ds:H00001	dr:D02166
ds:H00002	dr:D02166
ds:H00004	dr:D02166
ds:H00007	dr:D02166
ds:H00011	dr:D02166
ds:H01613	dr:D02166
ds:H01463	dr:D02166
ds:H00005	dr:D02166
ds:H01464	dr:D02166
ds:H01892	dr:D02166
ds:H00008	dr:D02166
ds:H00031	dr:D02166
ds:H00048	dr:D02166
ds:H00013	dr:D02168
ds:H00027	dr:D02168
ds:H00030	dr:D02168
ds:H01634	dr:D04364
ds:H01615	dr:D00717
ds:H00368	dr:D02267
ds:H00275	dr:D03635
ds:H01587	dr:D03644
ds:H01445	dr:D01083
ds:H01600	dr:D00787
ds:H01649	dr:D02340
ds:H01653	dr:D02340
ds:H01202	dr:D00014
ds:H00603	dr:D00014
ds:H01466	dr:D02715
ds:H00361	dr:D02114
ds:H01595	dr:D02114
ds:H00080	dr:D02114
ds:H00630	dr:D02114
