ds	drug	atc	icd
ds:H00001	dr:D01059	L01AD06	C91.0
ds:H00001	dr:D02166	L01DB07	C91.0
ds:H00001	dr:D05387	L01XX24	C91.0
ds:H00001	dr:D01404	NA	C91.0
ds:H00001	dr:D02214	L01DB03	C91.0
ds:H00001	dr:D01155	L01BC05	C91.0
ds:H00001	dr:D02698	L01CB02	C91.0
ds:H00001	dr:D02997	L01XX02	C91.0
ds:H00001	dr:D01633	NA	C91.0
ds:H00001	dr:D01441	L01XE01	C91.0
ds:H00001	dr:D03546	L01BB06	C91.0
ds:H00001	dr:D08933	L01XC26	C91.0
ds:H00001	dr:D09325	L01XC19	C91.0
ds:H00001	dr:D01760	L01AD07	C91.0
ds:H00001	dr:D00161	L01BB02	C91.0
ds:H00001	dr:D02063	NA	C91.0
ds:H00001	dr:D06414	L01XE06	C91.0
ds:H00001	dr:D09951	L01XE24	C91.0
ds:H00001	dr:D02197	L01CA02	C91.0
ds:H00001	dr:D00343	L01AA06	C91.0
ds:H00001	dr:D00275	L01XA01	C91.0
ds:H00001	dr:D01264	L01DB02	C91.0
ds:H00001	dr:D00287	L01AA01	C91.0
ds:H00001	dr:D01769	L01CA03	C91.0
ds:H00001	dr:D00168	L01BC01	C91.0
ds:H00001	dr:D01911	L01DB04	C91.0
ds:H00001	dr:D01275	L01DB01	C91.0
ds:H00001	dr:D01061	L01XX19	C91.0
ds:H00001	dr:D00751	H02AB04	C91.0
ds:H00001	dr:D01068	L01CA01	C91.0
ds:H00001	dr:D03229	L01DC01	C91.0
ds:H00001	dr:D08386	L01DB08	C91.0
ds:H00001	dr:D01363	L01XA02	C91.0
ds:H00001	dr:D00142	L04AX03	C91.0
ds:H00001	dr:D00472	S03BA02	C91.0
ds:H00001	dr:D00125	L01CB01	C91.0
ds:H00001	dr:D00254	L01AD01	C91.0
ds:H00001	dr:D11386	NA	C91.0
ds:H00002	dr:D01059	L01AD06	C91.0
ds:H00002	dr:D02166	L01DB07	C91.0
ds:H00002	dr:D05387	L01XX24	C91.0
ds:H00002	dr:D01404	NA	C91.0
ds:H00002	dr:D02214	L01DB03	C91.0
ds:H00002	dr:D01155	L01BC05	C91.0
ds:H00002	dr:D02698	L01CB02	C91.0
ds:H00002	dr:D02997	L01XX02	C91.0
ds:H00002	dr:D01633	NA	C91.0
ds:H00002	dr:D05134	L01BB07	C91.0
ds:H00002	dr:D03546	L01BB06	C91.0
ds:H00002	dr:D08933	L01XC26	C91.0
ds:H00002	dr:D01760	L01AD07	C91.0
ds:H00002	dr:D00161	L01BB02	C91.0
ds:H00002	dr:D02063	NA	C91.0
ds:H00002	dr:D02197	L01CA02	C91.0
ds:H00002	dr:D00343	L01AA06	C91.0
ds:H00002	dr:D00275	L01XA01	C91.0
ds:H00002	dr:D01264	L01DB02	C91.0
ds:H00002	dr:D00287	L01AA01	C91.0
ds:H00002	dr:D01769	L01CA03	C91.0
ds:H00002	dr:D00168	L01BC01	C91.0
ds:H00002	dr:D01911	L01DB04	C91.0
ds:H00002	dr:D01275	L01DB01	C91.0
ds:H00002	dr:D01061	L01XX19	C91.0
ds:H00002	dr:D00751	H02AB04	C91.0
ds:H00002	dr:D01068	L01CA01	C91.0
ds:H00002	dr:D03229	L01DC01	C91.0
ds:H00002	dr:D08386	L01DB08	C91.0
ds:H00002	dr:D01363	L01XA02	C91.0
ds:H00002	dr:D00142	L04AX03	C91.0
ds:H00002	dr:D00472	S03BA02	C91.0
ds:H00002	dr:D00125	L01CB01	C91.0
ds:H00002	dr:D00254	L01AD01	C91.0
ds:H00003	dr:D00094	L01XX14	C92.0
ds:H00003	dr:D02166	L01DB07	C92.0
ds:H00003	dr:D04872	L01AA05	C92.0
ds:H00003	dr:D02106	L01XX27	C92.0
ds:H00003	dr:D06109	L01BB03	C92.0
ds:H00003	dr:D02214	L01DB03	C92.0
ds:H00003	dr:D01418	NA	C92.0
ds:H00003	dr:D02997	L01XX02	C92.0
ds:H00003	dr:D01633	NA	C92.0
ds:H00003	dr:D03259	L01XC05	C92.0
ds:H00003	dr:D05803	L03AA09	C92.0
ds:H00003	dr:D00161	L01BB02	C92.0
ds:H00003	dr:D05029	L01XE39	C92.0
ds:H00003	dr:D02197	L01CA02	C92.0
ds:H00003	dr:D01264	L01DB02	C92.0
ds:H00003	dr:D00287	L01AA01	C92.0
ds:H00003	dr:D01747	L01DB06	C92.0
ds:H00003	dr:D00168	L01BC01	C92.0
ds:H00003	dr:D01911	L01DB04	C92.0
ds:H00003	dr:D01275	L01DB01	C92.0
ds:H00003	dr:D10800	NA	C92.0
ds:H00003	dr:D11107	NA	C92.0
ds:H00003	dr:D11044	L01XX59	C92.0
ds:H00003	dr:D11390	L01XY01	C92.0
ds:H00004	dr:D02166	L01DB07	C92.1
ds:H00004	dr:D01239	S03BA02	C92.1
ds:H00004	dr:D05870	V10XX01	C92.1
ds:H00004	dr:D06109	L01BB03	C92.1
ds:H00004	dr:D00208	L01DC03	C92.1
ds:H00004	dr:D00341	L01XX05	C92.1
ds:H00004	dr:D00973	S01BA03	C92.1
ds:H00004	dr:D08956	L01XX40	C92.1
ds:H00004	dr:D01441	L01XE01	C92.1
ds:H00004	dr:D00248	L01AB01	C92.1
ds:H00004	dr:D06413	L01XE08	C92.1
ds:H00004	dr:D03305	L03AB01	C92.1
ds:H00004	dr:D01760	L01AD07	C92.1
ds:H00004	dr:D00161	L01BB02	C92.1
ds:H00004	dr:D06414	L01XE06	C92.1
ds:H00004	dr:D09951	L01XE24	C92.1
ds:H00004	dr:D09728	L01XE14	C92.1
ds:H00004	dr:D01264	L01DB02	C92.1
ds:H00004	dr:D00287	L01AA01	C92.1
ds:H00004	dr:D01769	L01CA03	C92.1
ds:H00004	dr:D00244	S03BA03	C92.1
ds:H00004	dr:D01747	L01DB06	C92.1
ds:H00004	dr:D00979	H02AB04	C92.1
ds:H00004	dr:D00292	S03BA01	C92.1
ds:H00004	dr:D00168	L01BC01	C92.1
ds:H00004	dr:D00975	S03BA01	C92.1
ds:H00004	dr:D00385	S01BA05	C92.1
ds:H00004	dr:D02745	L03AB05	C92.1
ds:H00004	dr:D00983	S01BA05	C92.1
ds:H00004	dr:D00088	S02BA01	C92.1
ds:H00004	dr:D00142	L04AX03	C92.1
ds:H00004	dr:D00472	S03BA02	C92.1
ds:H00004	dr:D00407	H02AB04	C92.1
ds:H00005	dr:D01059	L01AD06	C91.1
ds:H00005	dr:D02166	L01DB07	C91.1
ds:H00005	dr:D04872	L01AA05	C91.1
ds:H00005	dr:D01239	S03BA02	C91.1
ds:H00005	dr:D05870	V10XX01	C91.1
ds:H00005	dr:D01404	NA	C91.1
ds:H00005	dr:D07085	L01AA09	C91.1
ds:H00005	dr:D00208	L01DC03	C91.1
ds:H00005	dr:D02802	L04AA34	C91.1
ds:H00005	dr:D02994	L01XC02	C91.1
ds:H00005	dr:D01370	L04AA40	C91.1
ds:H00005	dr:D02214	L01DB03	C91.1
ds:H00005	dr:D00973	S01BA03	C91.1
ds:H00005	dr:D01155	L01BC05	C91.1
ds:H00005	dr:D00266	L01AA02	C91.1
ds:H00005	dr:D02997	L01XX02	C91.1
ds:H00005	dr:D04489	V10XX02	C91.1
ds:H00005	dr:D09314	L01XC10	C91.1
ds:H00005	dr:D01760	L01AD07	C91.1
ds:H00005	dr:D02063	NA	C91.1
ds:H00005	dr:D09321	L01XC15	C91.1
ds:H00005	dr:D10223	L01XE27	C91.1
ds:H00005	dr:D01907	L01BB05	C91.1
ds:H00005	dr:D10679	L01XX52	C91.1
ds:H00005	dr:D00343	L01AA06	C91.1
ds:H00005	dr:D00275	L01XA01	C91.1
ds:H00005	dr:D00287	L01AA01	C91.1
ds:H00005	dr:D01769	L01CA03	C91.1
ds:H00005	dr:D00244	S03BA03	C91.1
ds:H00005	dr:D00979	H02AB04	C91.1
ds:H00005	dr:D00292	S03BA01	C91.1
ds:H00005	dr:D00168	L01BC01	C91.1
ds:H00005	dr:D01911	L01DB04	C91.1
ds:H00005	dr:D01275	L01DB01	C91.1
ds:H00005	dr:D01061	L01XX19	C91.1
ds:H00005	dr:D00975	S03BA01	C91.1
ds:H00005	dr:D00385	S01BA05	C91.1
ds:H00005	dr:D00751	H02AB04	C91.1
ds:H00005	dr:D01068	L01CA01	C91.1
ds:H00005	dr:D03229	L01DC01	C91.1
ds:H00005	dr:D08386	L01DB08	C91.1
ds:H00005	dr:D00983	S01BA05	C91.1
ds:H00005	dr:D00088	S02BA01	C91.1
ds:H00005	dr:D01363	L01XA02	C91.1
ds:H00005	dr:D00142	L04AX03	C91.1
ds:H00005	dr:D00472	S03BA02	C91.1
ds:H00005	dr:D00125	L01CB01	C91.1
ds:H00005	dr:D00407	H02AB04	C91.1
ds:H00005	dr:D00254	L01AD01	C91.1
ds:H00005	dr:D10560	L01XX47	C91.1
ds:H00005	dr:D11393	NA	C91.1
ds:H00006	dr:D02994	L01XC02	C91.4
ds:H00006	dr:D01370	L04AA40	C91.4
ds:H00006	dr:D00538	N03AX15	C91.4
ds:H00006	dr:D00155	L01XX08	C91.4
ds:H00006	dr:D08971	L03AX16	C91.4
ds:H00006	dr:D09932	NA	C91.4
ds:H00006	dr:D03305	L03AB01	C91.4
ds:H00006	dr:D02745	L03AB05	C91.4
ds:H00007	dr:D01059	L01AD06	C81
ds:H00007	dr:D00363	L01AD02	C81
ds:H00007	dr:D02166	L01DB07	C81
ds:H00007	dr:D10574	L01XC18	C81
ds:H00007	dr:D04872	L01AA05	C81
ds:H00007	dr:D01239	S03BA02	C81
ds:H00007	dr:D01404	NA	C81
ds:H00007	dr:D00288	L01AX04	C81
ds:H00007	dr:D02214	L01DB03	C81
ds:H00007	dr:D00973	S01BA03	C81
ds:H00007	dr:D01155	L01BC05	C81
ds:H00007	dr:D00266	L01AA02	C81
ds:H00007	dr:D02997	L01XX02	C81
ds:H00007	dr:D09587	L01XC12	C81
ds:H00007	dr:D01760	L01AD07	C81
ds:H00007	dr:D02063	NA	C81
ds:H00007	dr:D02197	L01CA02	C81
ds:H00007	dr:D00343	L01AA06	C81
ds:H00007	dr:D00275	L01XA01	C81
ds:H00007	dr:D00287	L01AA01	C81
ds:H00007	dr:D10316	L01XC17	C81
ds:H00007	dr:D01769	L01CA03	C81
ds:H00007	dr:D00244	S03BA03	C81
ds:H00007	dr:D00979	H02AB04	C81
ds:H00007	dr:D00978	S02BA01	C81
ds:H00007	dr:D00292	S03BA01	C81
ds:H00007	dr:D00168	L01BC01	C81
ds:H00007	dr:D01911	L01DB04	C81
ds:H00007	dr:D01275	L01DB01	C81
ds:H00007	dr:D00478	L01XB01	C81
ds:H00007	dr:D00975	S03BA01	C81
ds:H00007	dr:D00385	S01BA05	C81
ds:H00007	dr:D00751	H02AB04	C81
ds:H00007	dr:D01068	L01CA01	C81
ds:H00007	dr:D03229	L01DC01	C81
ds:H00007	dr:D08386	L01DB08	C81
ds:H00007	dr:D00983	S01BA05	C81
ds:H00007	dr:D00088	S02BA01	C81
ds:H00007	dr:D01363	L01XA02	C81
ds:H00007	dr:D00472	S03BA02	C81
ds:H00007	dr:D00125	L01CB01	C81
ds:H00007	dr:D00407	H02AB04	C81
ds:H00007	dr:D02177	L01DC01	C81
ds:H00007	dr:D00254	L01AD01	C81
ds:H00008	dr:D01059	L01AD06	C83.7
ds:H00008	dr:D02166	L01DB07	C83.7
ds:H00008	dr:D01404	NA	C83.7
ds:H00008	dr:D02994	L01XC02	C83.7
ds:H00008	dr:D02214	L01DB03	C83.7
ds:H00008	dr:D01155	L01BC05	C83.7
ds:H00008	dr:D02997	L01XX02	C83.7
ds:H00008	dr:D08971	L03AX16	C83.7
ds:H00008	dr:D01760	L01AD07	C83.7
ds:H00008	dr:D02063	NA	C83.7
ds:H00008	dr:D00343	L01AA06	C83.7
ds:H00008	dr:D00275	L01XA01	C83.7
ds:H00008	dr:D00287	L01AA01	C83.7
ds:H00008	dr:D01769	L01CA03	C83.7
ds:H00008	dr:D00168	L01BC01	C83.7
ds:H00008	dr:D01911	L01DB04	C83.7
ds:H00008	dr:D01275	L01DB01	C83.7
ds:H00008	dr:D01061	L01XX19	C83.7
ds:H00008	dr:D00751	H02AB04	C83.7
ds:H00008	dr:D01068	L01CA01	C83.7
ds:H00008	dr:D03229	L01DC01	C83.7
ds:H00008	dr:D08386	L01DB08	C83.7
ds:H00008	dr:D01363	L01XA02	C83.7
ds:H00008	dr:D00472	S03BA02	C83.7
ds:H00008	dr:D00125	L01CB01	C83.7
ds:H00008	dr:D00254	L01AD01	C83.7
ds:H00009	dr:D01404	NA	C91.5
ds:H00009	dr:D00155	L01XX08	C91.5
ds:H00009	dr:D09761	L01XC25	C91.5
ds:H00009	dr:D09813	L04AX04	C91.5
ds:H00010	dr:D00754	L04AX02	C90.0
ds:H00010	dr:D00369	L01AA03	C90.0
ds:H00010	dr:D03150	L01XX32	C90.0
ds:H00010	dr:D08880	L01XX45	C90.0
ds:H00010	dr:D08173	L01AA03	C90.0
ds:H00010	dr:D09337	L01XC23	C90.0
ds:H00010	dr:D08971	L03AX16	C90.0
ds:H00010	dr:D10131	L01XX50	C90.0
ds:H00010	dr:D10019	L01XX42	C90.0
ds:H00010	dr:D03305	L03AB01	C90.0
ds:H00010	dr:D01760	L01AD07	C90.0
ds:H00010	dr:D09813	L04AX04	C90.0
ds:H00010	dr:D10777	L01XC24	C90.0
ds:H00010	dr:D02197	L01CA02	C90.0
ds:H00010	dr:D08976	L04AX06	C90.0
ds:H00010	dr:D00287	L01AA01	C90.0
ds:H00010	dr:D00292	S03BA01	C90.0
ds:H00010	dr:D01275	L01DB01	C90.0
ds:H00010	dr:D00975	S03BA01	C90.0
ds:H00010	dr:D02745	L03AB05	C90.0
ds:H00010	dr:D00472	S03BA02	C90.0
ds:H00010	dr:D04687	L04AX04	C90.0
ds:H00010	dr:D00254	L01AD01	C90.0
ds:H00011	dr:D01059	L01AD06	C88.0
ds:H00011	dr:D02166	L01DB07	C88.0
ds:H00011	dr:D01404	NA	C88.0
ds:H00011	dr:D07085	L01AA09	C88.0
