ds	icd
ds:H00001	C83.5
ds:H00001	C91.0
ds:H00002	C83.5
ds:H00002	C91.0
ds:H00003	C92.0
ds:H00004	C92.1
ds:H00005	C91.1
ds:H00006	C91.4
ds:H00007	C81
ds:H00008	C83.7
ds:H00009	C91.5
ds:H00010	C90.0
ds:H00011	C83.8
ds:H00011	C88.0
ds:H00012	D45
ds:H00013	C34
ds:H00014	C34
ds:H00015	C45
ds:H00016	C00
ds:H00016	C01
ds:H00016	C02
ds:H00016	C03
ds:H00016	C04
ds:H00016	C05
ds:H00016	C06
ds:H00017	C15
ds:H00018	C16
ds:H00019	C25
ds:H00020	C18
ds:H00020	C19
ds:H00020	C20
ds:H00021	C64
ds:H00022	C67
ds:H00023	C62
ds:H00024	C61
ds:H00025	C60
ds:H00026	C54
ds:H00027	C56
ds:H00028	C58
ds:H00029	C51
ds:H00030	C53
ds:H00031	C50
ds:H00032	C73
ds:H00033	C74
ds:H00034	C17
ds:H00035	C41
ds:H00036	C41
ds:H00037	C49
ds:H00038	C43
ds:H00039	C44
ds:H00040	C44
ds:H00041	C46
ds:H00042	C71
ds:H00043	C38
ds:H00043	C47
ds:H00043	C48
ds:H00043	C72
ds:H00043	C74
ds:H00043	C76
ds:H00044	C21
ds:H00045	C25.4
ds:H00046	C22
ds:H00047	C23
ds:H00048	C22
ds:H00049	C49
ds:H00050	C49
ds:H00051	C49
ds:H00052	C49
ds:H00053	C41
ds:H00054	C11
ds:H00055	C32
ds:H00056	G30
ds:H00057	G20
ds:H00058	G12.2
ds:H00059	G10
ds:H00060	G11.2
ds:H00061	A81.0
ds:H00062	G12.1
ds:H00063	G31.9
ds:H00064	G11.3
ds:H00066	G31.8
ds:H00067	G11.1
ds:H00068	H47.2
ds:H00069	E74.0
ds:H00070	E74.2
ds:H00071	E74.1
ds:H00072	E74.4
ds:H00073	E74.4
ds:H00074	E75.2
ds:H00075	G60.1
ds:H00076	Q87.1
ds:H00077	G23.1
ds:H00078	G31.0
ds:H00079	J45
ds:H00080	M32
ds:H00081	E06.3
ds:H00082	E05.0
ds:H00083	T86
ds:H00084	T86
ds:H00085	D80
ds:H00086	D80
ds:H00087	D80
ds:H00088	D80
ds:H00089	D84.8
ds:H00091	D81
ds:H00092	D81
ds:H00093	D81
ds:H00094	D82.8
ds:H00094	G11.3
ds:H00095	D82.8
ds:H00098	D71
ds:H00100	D70
ds:H00109	D76.1
ds:H00110	A00
ds:H00111	A01.0
ds:H00112	A01.1
ds:H00112	A01.2
ds:H00112	A01.3
ds:H00112	A01.4
ds:H00114	E74.1
ds:H00115	E74.3
ds:H00116	E73.0
ds:H00117	E74.8
ds:H00118	E77.8
ds:H00119	E77.8
ds:H00120	Q04.3
ds:H00122	Q78.6
ds:H00123	E76.2
ds:H00124	E75.0
ds:H00125	E75.2
ds:H00126	E75.2
ds:H00127	E75.2
ds:H00128	E76.0
ds:H00129	E76.1
ds:H00130	E76.2
ds:H00131	E76.2
ds:H00132	E76.2
ds:H00133	E76.3
ds:H00134	Q80.1
ds:H00135	E75.2
ds:H00136	E75.2
ds:H00137	E75.2
ds:H00138	E75.2
ds:H00139	E77.1
ds:H00140	E77.1
ds:H00141	E77.1
ds:H00142	E77.1
ds:H00143	E77.0
ds:H00144	E75.1
ds:H00145	E77.1
ds:H00146	E77.9
ds:H00147	E88.8
ds:H00148	E75.5
ds:H00149	E75.4
ds:H00150	E74.0
ds:H00151	E75.5
ds:H00152	E78.5
ds:H00153	E78.4
ds:H00154	E78.3
ds:H00155	E78.0
ds:H00156	E78.2
ds:H00157	E78.3
ds:H00158	E78.6
ds:H00159	E78.6
ds:H00160	E78.6
ds:H00161	Q87.1
ds:H00162	E71.3
ds:H00163	E70.2
ds:H00164	E72.2
ds:H00165	E70.2
ds:H00166	E70.3
ds:H00167	E70.0
ds:H00168	E70.3
ds:H00169	E70.3
ds:H00170	E70.3
ds:H00171	E70.8
ds:H00172	E71.0
ds:H00173	E71.1
ds:H00174	E71.1
ds:H00175	E71.1
ds:H00176	E71.3
ds:H00177	E71.3
ds:H00178	E71.3
ds:H00178	E72.3
ds:H00179	E71.1
ds:H00180	E53.8
ds:H00181	E71.1
ds:H00182	E72.1
ds:H00183	E72.1
ds:H00184	E72.1
ds:H00185	E72.2
ds:H00186	E72.2
ds:H00187	E72.4
ds:H00188	E72.3
ds:H00189	E72.4
ds:H00190	E72.5
ds:H00191	E72.5
ds:H00192	E79.9
ds:H00193	E79.8
ds:H00194	E79.1
ds:H00195	N20.2
ds:H00196	E79.8
ds:H00197	E79.9
ds:H00198	D53.0
ds:H00200	E72.8
ds:H00201	E80.0
ds:H00202	E80.1
ds:H00202	E80.2
ds:H00203	E80.3
ds:H00204	G60.1
ds:H00205	Q87.8
ds:H00206	D89.2
ds:H00207	Q77.3
ds:H00208	E80.4
ds:H00208	E80.5
ds:H00208	E80.6
ds:H00209	E83.0
ds:H00210	E83.0
ds:H00211	E83.1
ds:H00212	E83.2
ds:H00213	E83.3
ds:H00214	E83.3
ds:H00215	G72.3
ds:H00216	E25.0
ds:H00218	E84
ds:H00219	D66
ds:H00219	D67
ds:H00219	D68.0
ds:H00220	D68.2
ds:H00222	D68.2
ds:H00223	D68.2
ds:H00224	D69.1
ds:H00225	D69.2
ds:H00226	D69.1
ds:H00227	D69.4
ds:H00228	D56.0
ds:H00228	D56.1
ds:H00228	D56.2
ds:H00228	D56.4
ds:H00229	D57
ds:H00230	D58.0
ds:H00231	D58.1
ds:H00232	D58.8
ds:H00233	D72.0
ds:H00234	D72.0
ds:H00235	D74.0
ds:H00236	D75.0
ds:H00237	D61.0
ds:H00238	D61.0
ds:H00239	E26.8
ds:H00240	E26.8
ds:H00241	N25.8
ds:H00242	I15.2
ds:H00243	N25.8
ds:H00244	E20.1
ds:H00245	E83.5
ds:H00246	E21.0
ds:H00247	D44.8
ds:H00249	E07.8
ds:H00250	E03.1
ds:H00251	E07.1
ds:H00252	N25.1
ds:H00253	E23.2
