ds	icd	pathway
ds:H00090	NA	path:hsa04650
ds:H00096	NA	path:hsa04620
ds:H00097	NA	path:hsa04060
ds:H00099	NA	path:hsa04670
ds:H00102	NA	path:hsa04610
ds:H00103	NA	path:hsa04610
ds:H00104	NA	path:hsa04610
ds:H00105	NA	path:hsa04610
ds:H00106	NA	path:hsa04610
ds:H00107	NA	path:hsa05340
ds:H00108	NA	path:hsa04210
ds:H00199	NA	path:hsa00240
ds:H00199	NA	path:hsa00983
ds:H00221	NA	path:hsa04141
ds:H00285	NA	path:hsa04621
ds:H00287	NA	path:hsa04621
ds:H00291	NA	path:hsa04623
ds:H00490	NA	path:hsa00590
ds:H00582	NA	path:hsa04510
ds:H00582	NA	path:hsa04512
ds:H00621	NA	path:hsa03008
ds:H00680	NA	path:hsa04080
ds:H00680	NA	path:hsa04961
ds:H00721	NA	path:hsa04210
ds:H00721	NA	path:hsa04620
ds:H00740	NA	path:hsa04141
ds:H00742	NA	path:hsa04514
ds:H00742	NA	path:hsa04530
ds:H00742	NA	path:hsa04670
ds:H00807	NA	path:hsa04080
ds:H00807	NA	path:hsa04725
ds:H00823	NA	path:hsa04020
ds:H00823	NA	path:hsa04080
ds:H00823	NA	path:hsa04916
ds:H00824	NA	path:hsa00230
ds:H00824	NA	path:hsa00240
ds:H00824	NA	path:hsa00760
ds:H00824	NA	path:hsa01100
ds:H00827	NA	path:hsa04622
ds:H00840	NA	path:hsa04514
ds:H00840	NA	path:hsa04530
ds:H00840	NA	path:hsa04670
ds:H00857	NA	path:hsa04310
ds:H00857	NA	path:hsa05200
ds:H00857	NA	path:hsa05210
ds:H00882	NA	path:hsa04010
ds:H00882	NA	path:hsa04062
ds:H00882	NA	path:hsa04210
ds:H00882	NA	path:hsa04380
ds:H00882	NA	path:hsa04620
ds:H00882	NA	path:hsa04621
ds:H00882	NA	path:hsa04622
ds:H00882	NA	path:hsa04623
ds:H00882	NA	path:hsa04660
ds:H00882	NA	path:hsa04662
ds:H00882	NA	path:hsa04920
ds:H00911	NA	path:hsa04724
ds:H00911	NA	path:hsa04974
ds:H00920	NA	path:hsa00190
ds:H00920	NA	path:hsa01100
ds:H00924	NA	path:hsa03450
ds:H00932	NA	path:hsa04142
ds:H00932	NA	path:hsa04612
ds:H00944	NA	path:hsa00514
ds:H00967	NA	path:hsa03320
ds:H00967	NA	path:hsa04920
ds:H00967	NA	path:hsa04930
ds:H00980	NA	path:hsa00310
ds:H01000	NA	path:hsa04623
ds:H01013	NA	path:hsa00601
ds:H01016	NA	path:hsa04976
ds:H01024	NA	path:hsa04060
ds:H01024	NA	path:hsa04350
ds:H01071	NA	path:hsa00010
ds:H01082	NA	path:hsa00260
ds:H01082	NA	path:hsa00750
ds:H01094	NA	path:hsa05310
ds:H01108	NA	path:hsa03320
ds:H01108	NA	path:hsa04145
ds:H01108	NA	path:hsa04920
ds:H01108	NA	path:hsa04975
ds:H01112	NA	path:hsa04150
ds:H01135	NA	path:hsa00030
ds:H01146	NA	path:hsa00220
ds:H01171	NA	path:hsa00982
ds:H01185	NA	path:hsa04726
ds:H01187	NA	path:hsa04380
