atc	icd
L01AD06	C91.0
L01DB07	C91.0
L01XX24	C91.0
L01DB03	C91.0
L01BC05	C91.0
L01CB02	C91.0
L01XX02	C91.0
L01XE01	C91.0
L01BB06	C91.0
L01XC26	C91.0
L01XC19	C91.0
L01AD07	C91.0
L01BB02	C91.0
L01XE06	C91.0
L01XE24	C91.0
L01CA02	C91.0
L01AA06	C91.0
L01XA01	C91.0
L01DB02	C91.0
L01AA01	C91.0
L01CA03	C91.0
L01BC01	C91.0
L01DB04	C91.0
L01DB01	C91.0
L01XX19	C91.0
H02AB04	C91.0
L01CA01	C91.0
L01DC01	C91.0
L01DB08	C91.0
L01XA02	C91.0
L04AX03	C91.0
S03BA02	C91.0
L01CB01	C91.0
L01AD01	C91.0
L01AD06	C91.0
L01DB07	C91.0
L01XX24	C91.0
L01DB03	C91.0
L01BC05	C91.0
L01CB02	C91.0
L01XX02	C91.0
L01BB07	C91.0
L01BB06	C91.0
L01XC26	C91.0
L01AD07	C91.0
L01BB02	C91.0
L01CA02	C91.0
L01AA06	C91.0
L01XA01	C91.0
L01DB02	C91.0
L01AA01	C91.0
L01CA03	C91.0
L01BC01	C91.0
L01DB04	C91.0
L01DB01	C91.0
L01XX19	C91.0
H02AB04	C91.0
L01CA01	C91.0
L01DC01	C91.0
L01DB08	C91.0
L01XA02	C91.0
L04AX03	C91.0
S03BA02	C91.0
L01CB01	C91.0
L01AD01	C91.0
L01XX14	C92.0
L01DB07	C92.0
L01AA05	C92.0
L01XX27	C92.0
L01BB03	C92.0
L01DB03	C92.0
L01XX02	C92.0
L01XC05	C92.0
L03AA09	C92.0
L01BB02	C92.0
L01XE39	C92.0
L01CA02	C92.0
L01DB02	C92.0
L01AA01	C92.0
L01DB06	C92.0
L01BC01	C92.0
L01DB04	C92.0
L01DB01	C92.0
L01XX59	C92.0
L01XY01	C92.0
L01DB07	C92.1
S03BA02	C92.1
V10XX01	C92.1
L01BB03	C92.1
L01DC03	C92.1
L01XX05	C92.1
S01BA03	C92.1
L01XX40	C92.1
L01XE01	C92.1
L01AB01	C92.1
L01XE08	C92.1
L03AB01	C92.1
L01AD07	C92.1
L01BB02	C92.1
L01XE06	C92.1
L01XE24	C92.1
L01XE14	C92.1
L01DB02	C92.1
L01AA01	C92.1
L01CA03	C92.1
S03BA03	C92.1
L01DB06	C92.1
H02AB04	C92.1
S03BA01	C92.1
L01BC01	C92.1
S03BA01	C92.1
S01BA05	C92.1
L03AB05	C92.1
S01BA05	C92.1
S02BA01	C92.1
L04AX03	C92.1
S03BA02	C92.1
H02AB04	C92.1
L01AD06	C91.1
L01DB07	C91.1
L01AA05	C91.1
S03BA02	C91.1
V10XX01	C91.1
L01AA09	C91.1
L01DC03	C91.1
L04AA34	C91.1
L01XC02	C91.1
L04AA40	C91.1
L01DB03	C91.1
S01BA03	C91.1
L01BC05	C91.1
L01AA02	C91.1
L01XX02	C91.1
V10XX02	C91.1
L01XC10	C91.1
L01AD07	C91.1
L01XC15	C91.1
L01XE27	C91.1
L01BB05	C91.1
L01XX52	C91.1
L01AA06	C91.1
L01XA01	C91.1
L01AA01	C91.1
L01CA03	C91.1
S03BA03	C91.1
H02AB04	C91.1
S03BA01	C91.1
L01BC01	C91.1
L01DB04	C91.1
L01DB01	C91.1
L01XX19	C91.1
S03BA01	C91.1
S01BA05	C91.1
H02AB04	C91.1
L01CA01	C91.1
L01DC01	C91.1
L01DB08	C91.1
S01BA05	C91.1
S02BA01	C91.1
L01XA02	C91.1
L04AX03	C91.1
S03BA02	C91.1
L01CB01	C91.1
H02AB04	C91.1
L01AD01	C91.1
L01XX47	C91.1
L01XC02	C91.4
L04AA40	C91.4
N03AX15	C91.4
L01XX08	C91.4
L03AX16	C91.4
L03AB01	C91.4
L03AB05	C91.4
L01AD06	C81
L01AD02	C81
L01DB07	C81
L01XC18	C81
L01AA05	C81
S03BA02	C81
L01AX04	C81
L01DB03	C81
S01BA03	C81
L01BC05	C81
L01AA02	C81
L01XX02	C81
L01XC12	C81
L01AD07	C81
L01CA02	C81
L01AA06	C81
L01XA01	C81
L01AA01	C81
L01XC17	C81
L01CA03	C81
S03BA03	C81
H02AB04	C81
S02BA01	C81
S03BA01	C81
L01BC01	C81
L01DB04	C81
L01DB01	C81
L01XB01	C81
S03BA01	C81
S01BA05	C81
H02AB04	C81
L01CA01	C81
L01DC01	C81
L01DB08	C81
S01BA05	C81
S02BA01	C81
L01XA02	C81
S03BA02	C81
L01CB01	C81
H02AB04	C81
L01DC01	C81
L01AD01	C81
L01AD06	C83.7
L01DB07	C83.7
L01XC02	C83.7
L01DB03	C83.7
L01BC05	C83.7
L01XX02	C83.7
L03AX16	C83.7
L01AD07	C83.7
L01AA06	C83.7
L01XA01	C83.7
L01AA01	C83.7
L01CA03	C83.7
L01BC01	C83.7
L01DB04	C83.7
L01DB01	C83.7
L01XX19	C83.7
H02AB04	C83.7
L01CA01	C83.7
L01DC01	C83.7
L01DB08	C83.7
L01XA02	C83.7
S03BA02	C83.7
L01CB01	C83.7
L01AD01	C83.7
L01XX08	C91.5
L01XC25	C91.5
L04AX04	C91.5
L04AX02	C90.0
L01AA03	C90.0
L01XX32	C90.0
L01XX45	C90.0
L01AA03	C90.0
L01XC23	C90.0
L03AX16	C90.0
L01XX50	C90.0
L01XX42	C90.0
L03AB01	C90.0
L01AD07	C90.0
L04AX04	C90.0
L01XC24	C90.0
L01CA02	C90.0
L04AX06	C90.0
L01AA01	C90.0
S03BA01	C90.0
L01DB01	C90.0
S03BA01	C90.0
L03AB05	C90.0
S03BA02	C90.0
L04AX04	C90.0
L01AD01	C90.0
L01AD06	C88.0
L01DB07	C88.0
L01AA09	C88.0
L01XC02	C88.0
L04AA40	C88.0
L01DB03	C88.0
L01BC05	C88.0
L01XX02	C88.0
V10XX02	C88.0
L01XX32	C88.0
L03AX16	C88.0
L01AD07	C88.0
L01XE27	C88.0
L01BB05	C88.0
L01AA06	C88.0
L01XA01	C88.0
L01CA03	C88.0
L01BC01	C88.0
L01DB04	C88.0
L01DB01	C88.0
L01XX19	C88.0
H02AB04	C88.0
L01CA01	C88.0
L01DC01	C88.0
L01DB08	C88.0
L01XA02	C88.0
S03BA02	C88.0
L01CB01	C88.0
L01AD01	C88.0
L01AA05	D45
V10XX01	D45
L01XX05	D45
L01AB01	D45
L01XE18	D45
L01AD07	D45
L01AD06	C34
L01BC53	C34
L01XX17	C34
L01CB01	C34
L01DB10	C34
L01DC03	C34
L01BC02	C34
L01XD01	C34
L01AA06	C34
L01XA01	C34
L01AA01	C34
L04AX03	C34
L01XC17	C34
L01CA03	C34
L01BC01	C34
L01DB04	C34
L01DB01	C34
L01XX19	C34
L01DC01	C34
L01XA02	C34
L01CB01	C34
L01AD06	C34
L01BC53	C34
L01XC18	C34
L01XE02	C34
L01DB10	C34
L01DC03	C34
L01CD02	C34
L01BC02	C34
L01BC05	C34
L01XD01	C34
L01CA04	C34
L01BA04	C34
L01XC21	C34
L01XE16	C34
L01XE13	C34
L01XC22	C34
L01XE03	C34
L01XE23	C34
L01XE47	C34
L01XE28	C34
L01XE35	C34
L01XA01	C34
L01XE36	C34
L01XC07	C34
L01XC28	C34
L01XE43	C34
L01AA01	C34
L04AX03	C34
L01XC17	C34
L01CA03	C34
L01BC01	C34
L01DB04	C34
L01DB01	C34
L01CD02	C34
L01XX19	C34
L01XE44	C34
L01CD01	C34
L01DC01	C34
L01XA02	C34
L01BC53	C34
L01XE25	C34
L01XC32	C34
L01BA04	C45
L01XA01	C45
L01XC17	C45
L01DC01	C06
L01BC09	C15
L01CD02	C15
L01BC02	C15
L01XD01	C15
L01XA01	C15
L01CA03	C15
L01CD02	C15
L01CD01	C15
L01DC01	C15
L01AD06	C16
L01BC53	C16
L01XC03	C16
L01XC18	C16
L01BC09	C16
L01DC03	C16
L01XA03	C16
L01CD02	C16
L01BC02	C16
L01DB03	C16
L01BC06	C16
L01XD01	C16
L01BC03	C16
V03AF04	C16
L01XC21	C16
L03AX01	C16
L01XA01	C16
L01AA01	C16
L01XC17	C16
L01BC01	C16
L01DB04	C16
L01DB01	C16
L01CD02	C16
L01XX19	C16
L01CD01	C16
L01DB08	C16
L04AX03	C16
L01BC53	C16
L01BC53	C25
L01BC09	C25
L01DC03	C25
L01XA03	C25
L01BC02	C25
L01BC05	C25
V03AF04	C25
L01XE03	C25
L01AA01	C25
L01BC01	C25
L01DB01	C25
L01XX19	C25
L01CD01	C25
L01BC53	C25
L01AD06	C20
L01BC53	C20
L01XC18	C20
L01XC06	C20
L01BC09	C20
L01DC03	C20
L01XA03	C20
L01BC02	C20
L01BC06	C20
L01BC03	C20
V03AF04	C20
S01LA05	C20
L01XC21	C20
L01XC08	C20
V03AF03	C20
L01BC59	C20
L01XC07	C20
L01AA01	C20
L01XC17	C20
L01BC01	C20
L01DB01	C20
L01XX19	C20
L01XE21	C20
L01BC53	C20
V03AF10	C20
L01DA01	C64
L03AB03	C64
L03AC01	C64
L01XE09	C64
L01XE11	C64
L01XE05	C64
L01XC11	C64
L03AB01	C64
L01XE17	C64
L01XE29	C64
L01AA06	C64
L01XE04	C64
L01XC07	C64
L02AB02	C64
L01XC17	C64
L01DB01	C64
L03AB05	C64
L01XA02	C64
L01CB01	C64
L04AA18	C64
L01XE26	C64
L01AC01	C67
L01DB09	C67
L01BC53	C67
L01XD04	C67
L01XC18	C67
L01DC03	C67
L01DB03	C67
L01BC05	C67
L01BC03	C67
L03AX03	C67
L01XC31	C67
L01XA01	C67
L01XC28	C67
L01XC17	C67
L01BC01	C67
L01DB01	C67
L01CA01	C67
L01DB08	C67
L04AX03	C67
L01CB01	C67
L01XC32	C67
L01DA01	C62
L01CB01	C62
L01AA06	C62
L01XA01	C62
L01CD01	C62
L01CA01	C62
L01DC01	C62
L01XA02	C62
L01CB01	C62
L01DC01	C62
L02AE05	C61
L01BC53	C61
S03BA02	C61
L02AE04	C61
L02AA03	C61
L02AE02	C61
L02AE03	C61
L01CD02	C61
G03DB06	C61
G03CA03	C61
L02BB03	C61
L02BB02	C61
L01XX11	C61
L02BX02	C61
L02BB01	C61
L02BX03	C61
V10XX03	C61
L01CD04	C61
L02BB04	C61
L01AA06	C61
L01XA01	C61
S03BA03	C61
H02AB04	C61
S02BA01	C61
S03BA01	C61
L01CD02	C61
S03BA01	C61
S01BA05	C61
S01BA05	C61
L01XX11	C61
S03BA02	C61
H02AB04	C61
L02BB05	C61
L01DC03	C54
L01CD02	C54
L01BC02	C54
L01XA01	C54
L02AB02	C54
L01BC01	C54
L01DB01	C54
L01CD02	C54
L01CD01	C54
L01AC01	C56
L01XX17	C56
L01AA03	C56
L01XX05	C56
L01CD02	C56
L01BC02	C56
L01DB03	C56
L01BC05	C56
L01XX03	C56
L01AA06	C56
L01XA01	C56
L01XC07	C56
L01XX46	C56
L01AA01	C56
L01DB04	C56
L01DB01	C56
L01CD02	C56
L01XX19	C56
L01CD01	C56
L01CA01	C56
L01DC01	C56
L01DB08	C56
L01XA02	C56
L01XX55	C56
L01CB01	C56
L01XX54	C56
L01DA01	C58
L01AA01	C58
L04AX03	C58
L01CA01	C58
L04AX03	C58
L01CB01	C58
L01DC01	C58
D06BB10	C51
J07BM01	C51
L01BC53	C53
L01XX17	C53
L01XC18	C53
L01DC03	C53
L01BC02	C53
L01XD01	C53
J07BM02	C53
J07BM01	C53
L01AA06	C53
L01XA01	C53
L01XC07	C53
L01AA01	C53
L01BC01	C53
L01XX19	C53
L01CD01	C53
L01DC01	C53
L01XA02	C53
L01CB01	C53
L02BA03	C50
L01AC01	C50
L02BG03	C50
L02BA02	C50
L01XE45	C50
L01BC53	C50
L01DB07	C50
L01XC03	C50
S03BA02	C50
G03EK01	C50
L02BG04	C50
L01DC03	C50
L02AA03	C50
L02AE02	C50
L02AE03	C50
L01CD02	C50
L01BC02	C50
L01XC13	C50
G03BA01	C50
L01DB03	C50
L01BC06	C50
L01BC05	C50
L01BC03	C50
L01CA04	C50
G03BA03	C50
L01XE07	C50
L02BA01	C50
L01XE33	C50
L01XE50	C50
L01XX60	C50
L01XC14	C50
L01XX41	C50
L02BG06	C50
L01XC07	C50
L01DC04	C50
L01XX46	C50
L01AA01	C50
L02AB02	C50
L04AX03	C50
S03BA03	C50
S02BA01	C50
S03BA01	C50
L01BC01	C50
L01DB04	C50
L01DB01	C50
L01CD02	C50
L01XX19	C50
S03BA01	C50
L01XE42	C50
L01CD01	C50
L01CA01	C50
L01DB08	C50
S01BA05	C50
S02BA01	C50
L01XA02	C50
L04AX03	C50
S03BA02	C50
H02AB04	C50
L04AA18	C50
L01BC53	C50
V10XA01	C73
L01XE05	C73
L01XE29	C73
L01DB01	C73
L01DC01	C73
L01XX23	C74
H01CB02	C17
H01CB02	C17
L01DA01	C41
L01AB01	C41
L01AA06	C41
L01DB01	C41
L01XA02	C41
L01CB01	C41
V03AF04	C41
V03AF03	C41
L01AA06	C41
L01XA01	C41
L01DB01	C41
L04AX03	C41
V03AF10	C41
L01DA01	C49
L01CA02	C49
L01AA06	C49
L01XA01	C49
L01DB01	C49
L01CB01	C49
L01XC18	C43
L01XE46	C43
L03AB10	C43
L01AX04	C43
L01XX05	C43
L03AC01	C43
L01XE15	C43
L01XC11	C43
L01XX51	C43
L01XE38	C43
L01XE23	C43
L01XE41	C43
L03AB02	C43
L01AA01	C43
L01XC17	C43
L03AB05	C43
L01XE25	C43
L01BC02	C44
L01XX43	C44
L01XX48	C44
L01XC18	C44
L01XC06	C44
L01XX05	C44
L01BC02	C44
L01XC17	C44
L01XX19	C44
L01DC01	C44
L01XX22	C46
L01DB01	C46
L01CD01	C46
L01CA01	C46
L03AB05	C46
L01XD04	C71
L01AX03	C71
L01CA02	C71
L01XC07	C71
L01XB01	C71
L01DC01	C71
L01AD01	C71
L01AB01	C76
L01XC16	C76
L01CA02	C76
L01AA06	C76
L01XA01	C76
L01AA01	C76
L01DB01	C76
L01XA02	C76
L01CB01	C76
J07BM01	C21
L01AD04	C25.4
H01CB03	C25.4
L01XE04	C25.4
V10XX04	C25.4
L04AA18	C25.4
L01BC53	C22
L01DB01	C22
L01DB01	C23
L01AD06	C22
L01DB07	C22
L01DC03	C22
L01BC02	C22
L01DB03	C22
L01XE05	C22
L01XE29	C22
L01AA06	C22
L01XA01	C22
L01AA01	C22
L01XC17	C22
L01BC01	C22
L01DB01	C22
L01XE21	C22
L01CB01	C22
L01DC01	C32
N06DA03	G30
N06DA02	G30
N06DA04	G30
N06DX01	G30
N04BD02	G20
N04BA01	G20
N04BA02	G20
N04BB01	G20
N04BC06	G20
N04BC01	G20
N04BD01	G20
N04BX01	G20
N03AX15	G20
N04BC07	G20
N04BA02	G20
N04BC09	G20
N05AX17	G20
N04BC02	G20
N04BA03	G20
N04BD03	G20
N04BC05	G20
C01CA27	G20
N04BX02	G20
N04BC04	G20
N07XX14	G12.2
M03BX09	G12.2
M03BX02	G12.2
M03CA01	G12.2
M03BX01	G12.2
N07XX02	G12.2
N07XX06	G10
L02AE02	G12.1
N06DA02	G31.8
R05DA07	J45
R03DX06	J45
R03AC12	J45
S01GX07	J45
S01GX01	J45
S01GX08	J45
R03DA03	J45
R03DA51	J45
R03BA03	J45
R03AC13	J45
S03BA02	J45
R03CC03	J45
R03DA51	J45
R03BA09	J45
R03CB01	J45
R03DC01	J45
R03BA01	J45
V03AB23	J45
R03CB03	J45
R03BA02	J45
R03DA04	J45
R05CB03	J45
R03BA08	J45
S01GX10	J45
R03BA05	J45
R03DX09	J45
R06AD07	J45
S01BA03	J45
S01EA01	J45
R03DX01	J45
R03DB03	J45
R03DA51	J45
R03CC08	J45
V01AA20	J45
R03AK06	J45
R03DX08	J45
R03AK09	J45
R03CC13	J45
R03CC04	J45
R03DC03	J45
R03DX05	J45
R03AK07	J45
R03AK11	J45
R03AK10	J45
R03DA05	J45
R03DX10	J45
R03DC02	J45
R05CB06	J45
R03CC11	J45
R03CC02	J45
R03BB01	J45
R06AE06	J45
S03BA03	J45
S03BA02	J45
H02AB04	J45
S02BA01	J45
S03BA01	J45
