
TTD - Therapeutic Targets Database Full Data Download File
Version 6.1.01 (2017.10.04)
Provided by BIDD   BioInformatic and Drug Design Group
                   Department of Pharmacy
                   National Unviersity of Singapore
                   http://bidd.nus.edu.sg/group/bidd.htm
Any question about data provided here, please contact with:
Prof. Chen (csccyz@nus.edu.sg) and Prof. Zhu (zhufeng@cqu.edu.cn, http://idrb.cqu.edu.cn/Peoples-PI.php)

--------------------------------------------------------------------------------------------------------

TTDID	KEGG pathway ID	KEGG pathway name
T00140	hsa00590	Arachidonic acid metabolism
T00140	hsa01100	Metabolic pathways
T00140	hsa04726	Serotonergic synapse
T00140	hsa04913	Ovarian steroidogenesis
T00140	hsa05145	Toxoplasmosis
T00494	hsa02010	ABC transporters
T00494	hsa04975	Fat digestion and absorption
T01318	hsa00240	Pyrimidine metabolism
T01318	hsa01100	Metabolic pathways
T01777	hsa04022	cGMP-PKG signaling pathway
T01777	hsa04080	Neuroactive ligand-receptor interaction
T02333	hsa04060	Cytokine-cytokine receptor interaction
T02333	hsa04080	Neuroactive ligand-receptor interaction
T02333	hsa04151	PI3K-Akt signaling pathway
T02333	hsa04630	Jak-STAT signaling pathway
T02551	hsa04080	Neuroactive ligand-receptor interaction
T02551	hsa04728	Dopaminergic synapse
T02808	hsa04060	Cytokine-cytokine receptor interaction
T02808	hsa04151	PI3K-Akt signaling pathway
T02808	hsa04380	Osteoclast differentiation
T02808	hsa04620	Toll-like receptor signaling pathway
T02808	hsa04622	RIG-I-like receptor signaling pathway
T02808	hsa04623	Cytosolic DNA-sensing pathway
T02808	hsa04630	Jak-STAT signaling pathway
T02808	hsa04650	Natural killer cell mediated cytotoxicity
T02808	hsa05142	Chagas disease (American trypanosomiasis)
T02808	hsa05152	Tuberculosis
T02808	hsa05160	Hepatitis C
T02808	hsa05161	Hepatitis B
T02808	hsa05162	Measles
T02808	hsa05164	Influenza A
T02808	hsa05168	Herpes simplex infection
T03313	hsa04060	Cytokine-cytokine receptor interaction
T03313	hsa04144	Endocytosis
T03313	hsa04151	PI3K-Akt signaling pathway
T03313	hsa04630	Jak-STAT signaling pathway
T03313	hsa04640	Hematopoietic cell lineage
T03313	hsa05162	Measles
T03313	hsa05166	HTLV-I infection
T03346	hsa04060	Cytokine-cytokine receptor interaction
T03346	hsa04151	PI3K-Akt signaling pathway
T03346	hsa04630	Jak-STAT signaling pathway
T03346	hsa04640	Hematopoietic cell lineage
T03346	hsa05321	Inflammatory bowel disease (IBD)
T03661	hsa00230	Purine metabolism
T03661	hsa01100	Metabolic pathways
T03661	hsa05340	Primary immunodeficiency
T03691	hsa00590	Arachidonic acid metabolism
T03691	hsa01100	Metabolic pathways
T05849	hsa04020	Calcium signaling pathway
T05849	hsa04080	Neuroactive ligand-receptor interaction
T05849	hsa04971	Gastric acid secretion
T06273	hsa03410	Base excision repair
T06273	hsa04064	NF-kappa B signaling pathway
T06421	hsa04060	Cytokine-cytokine receptor interaction
T06421	hsa04151	PI3K-Akt signaling pathway
T06421	hsa04380	Osteoclast differentiation
T06421	hsa04620	Toll-like receptor signaling pathway
T06421	hsa04630	Jak-STAT signaling pathway
T06421	hsa04650	Natural killer cell mediated cytotoxicity
T06421	hsa05160	Hepatitis C
T06421	hsa05161	Hepatitis B
T06421	hsa05162	Measles
T06421	hsa05164	Influenza A
T06421	hsa05168	Herpes simplex infection
T06841	hsa04060	Cytokine-cytokine receptor interaction
T06841	hsa04620	Toll-like receptor signaling pathway
T06841	hsa04622	RIG-I-like receptor signaling pathway
T06841	hsa04630	Jak-STAT signaling pathway
T06841	hsa04940	Type I diabetes mellitus
T06841	hsa05133	Pertussis
T06841	hsa05134	Legionellosis
T06841	hsa05140	Leishmaniasis
T06841	hsa05142	Chagas disease (American trypanosomiasis)
T06841	hsa05143	African trypanosomiasis
T06841	hsa05144	Malaria
T06841	hsa05145	Toxoplasmosis
T06841	hsa05146	Amoebiasis
T06841	hsa05152	Tuberculosis
T06841	hsa05162	Measles
T06841	hsa05164	Influenza A
T06841	hsa05168	Herpes simplex infection
T06841	hsa05321	Inflammatory bowel disease (IBD)
T06841	hsa05330	Allograft rejection
T07137	mmu00130	Ubiquinone and other terpenoid-quinone biosynthesis
T07137	mmu00350	Tyrosine metabolism
T07137	mmu00360	Phenylalanine metabolism
T07137	mmu01100	Metabolic pathways
T07303	hsa04014	Ras signaling pathway
T07303	hsa04015	Rap1 signaling pathway
T07303	hsa04060	Cytokine-cytokine receptor interaction
T07303	hsa04151	PI3K-Akt signaling pathway
T07303	hsa04510	Focal adhesion
T07663	hsa00230	Purine metabolism
T07663	hsa04022	cGMP-PKG signaling pathway
T07806	hsa04024	cAMP signaling pathway
T07806	hsa04080	Neuroactive ligand-receptor interaction
T07806	hsa04726	Serotonergic synapse
T08898	hsa04024	cAMP signaling pathway
T08898	hsa04080	Neuroactive ligand-receptor interaction
T08910	hsa04080	Neuroactive ligand-receptor interaction
T08910	hsa04723	Retrograde endocannabinoid signaling
T08910	hsa04727	GABAergic synapse
T08910	hsa05032	Morphine addiction
T08910	hsa05033	Nicotine addiction
T08922	hsa00061	Fatty acid biosynthesis
T08922	hsa00620	Pyruvate metabolism
T08922	hsa00640	Propanoate metabolism
T08922	hsa01100	Metabolic pathways
T08922	hsa01212	Fatty acid metabolism
T08922	hsa04152	AMPK signaling pathway
T08922	hsa04910	Insulin signaling pathway
T08922	hsa04920	Adipocytokine signaling pathway
T08922	hsa04922	Glucagon signaling pathway
T09130	hsa04020	Calcium signaling pathway
T09130	hsa04024	cAMP signaling pathway
T09130	hsa04080	Neuroactive ligand-receptor interaction
T09130	hsa04151	PI3K-Akt signaling pathway
T09130	hsa04725	Cholinergic synapse
T09130	hsa04810	Regulation of actin cytoskeleton
T09423	hsa04971	Gastric acid secretion
T09507	hsa04975	Fat digestion and absorption
T09507	hsa04977	Vitamin digestion and absorption
T09538	hsa00790	Folate biosynthesis
T09538	hsa01100	Metabolic pathways
T09909	hsa04080	Neuroactive ligand-receptor interaction
T09909	hsa04261	Adrenergic signaling in cardiomyocytes
T09909	hsa04614	Renin-angiotensin system
T09960	hsa04060	Cytokine-cytokine receptor interaction
T09960	hsa04062	Chemokine signaling pathway
T09960	hsa04144	Endocytosis
T09960	hsa05145	Toxoplasmosis
T09960	hsa05203	Viral carcinogenesis
T10897	mtc01100	Metabolic pathways
T11072	hsa04024	cAMP signaling pathway
T11072	hsa04080	Neuroactive ligand-receptor interaction
T11072	hsa04726	Serotonergic synapse
T11211	hsa04114	Oocyte meiosis
